,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,valutazione
72,B&B Angolo Verde,"9,6",Eccezionale,1 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",69 €,,"Terni, Terni ",3
73,Bilocale degli Innamorati,"8,9",Fantastico,56 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",107 €,,"Terni, Terni ",4
74,Dal Podestà (Dal Podesta),"9,8",Eccezionale,73 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",108 €,,"San Gemini, San Gemini ",3
75,SognoNarni,"9,1",Eccezionale,103 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",117 €,,"Narni, Narni ",3
76,Palmira House - delizioso bilocale for two,"9,8",Eccezionale,109 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",94 €,,"Terni, Terni ",4
77,"Casa Susanna - posizione centralissima superservita, tranquilla, appena fuori ZTL parcheggio libero (Casa Susanna - delizioso piano terra, centralissimo, superservito, tranquillo, appena fuori ZTL parc)","8,9",Fantastico,44 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",310 €,,"Terni, Terni ",4
78,L'amoruccio,"9,5",Eccezionale,64 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",148 €,,"Terni, Terni ",4
79,B&B Home XIX,"9,4",Eccezionale,351 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",103 €,,"Narni, Narni ",3
80,Alloggio tra Terni e Narni,"9,5",Eccezionale,19 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",128 €,,"Terni, Terni ",3
81,Le Gatte,"9,6",Eccezionale,23 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",153 €,,"Narni, Narni ",4
82,La casa di Umberto,"9,5",Eccezionale,50 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",126 €,,"Terni, Terni ",3
83,La Casa di Cesi,"9,1",Eccezionale,21 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",81 €,,"Terni, Terni ",4
84,Lo Scorcio Marmore,"9,4",Eccezionale,50 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",153 €,,"Terni, Terni ",4
85,Domus Narnia,"8,5",Fantastico,165 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",78 €,,"Narni, Narni ",3
86,Narni.Umbria,"9,1",Eccezionale,23 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",73 €,,"Narni, Narni ",3
87,Le Camere di Ettore,"9,1",Eccezionale,99 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",79 €,,"Terni, Terni ",3
88,Fresco e Colorato Appartamentino in Narni Scalo,"8,7",Fantastico,20 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",73 €,,"Narni, Narni ",3
89,Civico 100,"8,7",Fantastico,47 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",72 €,,"Terni, Terni ",2
