,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,indirizzo,valutazione
301,Parker Hotel,"8,3",Fantastico,3.679 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",133 €,"Stazione centrale Roma Termini, Roma - A 0,1 km dal centro",3
302,City Mood Guesthouse,"5,8",Punteggio,1.054 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",107 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
303,Mercure Roma Piazza Bologna Hotel,"8,5",Fantastico,1.088 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",183 €,"Nomentano, Roma - A 1,3 km dal centro",3
304,Delle Muse Hotel,"8,3",Fantastico,1.642 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",181 €,"Flaminio e Parioli, Roma - A 2,1 km dal centro",3
305,HOTEL RIVIERA FIUMICINO,"8,0",Fantastico,1.926 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",143 €,"Aeroporto di Fiumicino, Roma - A 24,4 km dal centro",3
306,Radio Hotel,"7,8",Ottimo,2.599 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",107 €,"Eur e Garbatella, Roma - A 1,6 km dal centro",2
307,Hotel Eurorooms,"5,9",Punteggio,35 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",174 €,"Stazione centrale Roma Termini, Roma - In pieno centro",1
308,Hotel Morgana,"8,0",Fantastico,877 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",177 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
309,Les Chambres D'Or Hotel,"7,5",Ottimo,342 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",319 €,"Città del Vaticano, Roma - In pieno centro",1
310,Hotel Mecenate Palace,"8,7",Fantastico,2.219 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",230 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
311,Corso Suite 107 Rooms Wellness&SPA ,"8,4",Fantastico,77 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",270 €,"Piazza di Spagna, Roma - In pieno centro",4
312,Sofitel Rome Villa Borghese Hotel,"8,7",Fantastico,1.024 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",581 €,"Via Veneto, Roma - In pieno centro",5
313,HOTEL TREVI COLLECTION,"8,0",Fantastico,1.005 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",255 €,"Piazza di Spagna, Roma - In pieno centro",4
314,Best Western Plus Hotel Universo,"8,7",Fantastico,5.312 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",265 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
315,Charme & Chic,"8,8",Fantastico,629 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",131 €,"Piazza di Spagna, Roma - In pieno centro",4
316,Royal Court Hotel,"8,1",Fantastico,2.175 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",180 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
317,Ateneo Garden Palace Hotel,"8,1",Fantastico,1.703 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",160 €,"Stazione centrale Roma Termini, Roma - A 0,2 km dal centro",4
318,A&C Much More II,"7,9",Ottimo,758 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",188 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
319,Hotel Cherubini,"7,4",Ottimo,82 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",104 €,"Stazione centrale Roma Termini, Roma - In pieno centro",2
320,NH Collection Palazzo Cinquecento,"8,8",Fantastico,2.067 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",411 €,"Stazione centrale Roma Termini, Roma - In pieno centro",5
321,Casa De' Fiori,"9,0",Eccezionale,2 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",200 €,"Piazza Navona, Roma - In pieno centro",3
322,Hotel Campidoglio,"7,2",Ottimo,24 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",185 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
323,Hotel Lella,"6,4",Buono,1.380 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",106 €,"Stazione centrale Roma Termini, Roma - In pieno centro",2
324,Capitani Guest House,"9,5",Eccezionale,783 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",129 €,"Aeroporto di Fiumicino, Roma - A 23,1 km dal centro",4
325,Vatican Rome,"7,6",Ottimo,275 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",120 €,"Città del Vaticano, Roma - A 0,3 km dal centro",3
326,MARCELLA ROYAL HOTEL – ROOFTOP GARDEN,"8,5",Fantastico,744 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",237 €,"Via Veneto, Roma - In pieno centro",4
327,Best Western Premier Hotel Royal Santina,"8,7",Fantastico,4.614 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",231 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
328,Mondo House,"8,6",Fantastico,1.447 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",123 €,"Aeroporto di Fiumicino, Roma - A 23,7 km dal centro",3
329,Hotel Caravita,"8,9",Fantastico,1.091 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",311 €,"Pantheon, Roma - In pieno centro",5
330,Hotel Maryelen,"7,9",Ottimo,825 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",134 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
331,Euro House Rome Airport,"8,0",Fantastico,248 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",113 €,"Aeroporto di Fiumicino, Roma - A 22,6 km dal centro",3
332,Roma Boutique Hotel,"8,1",Fantastico,127 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",143 €,"Via Veneto, Roma - In pieno centro",4
333,The Social Hub Rome,"8,8",Fantastico,197 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",148 €,"Roma Est, Roma - A 0,5 km dal centro",4
334,Amazing Piazza Venezia Suites,"9,1",Eccezionale,916 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",329 €,"Pantheon, Roma - In pieno centro",4
335,Cortina Hotel,"8,7",Fantastico,186 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",187 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
336,La Villetta Suite,"8,6",Fantastico,2.002 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",117 €,"Aeroporto di Ciampino, Roma - A 13,8 km dal centro",3
337,Euro House Inn,"8,0",Fantastico,745 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",118 €,"Aeroporto di Fiumicino, Roma - A 21,6 km dal centro",4
338,Hotel Ferrari,"6,4",Buono,69 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",113 €,"Stazione centrale Roma Termini, Roma - In pieno centro",2
339,Baltik Guest House,"8,1",Fantastico,980 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",100 €,"Stazione centrale Roma Termini, Roma - In pieno centro",2
340,Moderno Hotel Roma,"8,4",Fantastico,1.764 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",138 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
341,Relais Teatro Argentina,"8,8",Fantastico,671 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",177 €,"Pantheon, Roma - In pieno centro",4
342,Aida Charming Rooms,"7,5",Ottimo,529 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",132 €,"Roma Ovest, Roma - A 2,8 km dal centro",2
343,Residence La Maison Jolie,"8,2",Fantastico,2.785 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",112 €,"Aeroporto di Fiumicino, Roma - A 22,3 km dal centro",3
344,Crowne Plaza Rome St. Peter's By IHG,"8,2",Fantastico,2.264 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",245 €,"Aurelio e Monteverde, Roma - A 3,0 km dal centro",4
345,Academy Hotel,"8,1",Fantastico,1.931 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",154 €,"Aeroporto di Fiumicino, Roma - A 23,3 km dal centro",3
346,MF Hotel,"7,8",Ottimo,1.007 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",125 €,"Nomentano, Roma - A 0,2 km dal centro",3
347,Hotel Dei Consoli,"8,6",Fantastico,966 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",149 €,"Città del Vaticano, Roma - In pieno centro",4
348,Hotel Della Torre Argentina,"8,9",Fantastico,4.418 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",294 €,"Pantheon, Roma - In pieno centro",3
349,Navona Theatre Hotel,"8,9",Fantastico,1.360 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",222 €,"Piazza Navona, Roma - In pieno centro",3
350,Roman Holidays Hostel Rome,"7,7",Ottimo,127 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",112 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
351,Domus Valadier Luxury,"8,5",Fantastico,1.698 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",191 €,"Aeroporto di Fiumicino, Roma - A 23,2 km dal centro",3
352,Hotel White,"8,6",Fantastico,944 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",279 €,"Fontana di Trevi, Roma - In pieno centro",4
353,Novotel Roma EUR Hotel,"8,3",Fantastico,2.190 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",192 €,"Eur e Garbatella, Roma - A 7,1 km dal centro",4
354,Trilussa Palace Hotel Congress & Spa,"8,3",Fantastico,776 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",169 €,"Trastevere, Roma - A 0,7 km dal centro",4
355,Target Inn,"8,4",Fantastico,88 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",159 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
356,Hotel Athena,"7,8",Ottimo,615 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",102 €,"Policlinico, Roma - A 1,2 km dal centro",3
357,Ergife Palace Hotel,"7,6",Ottimo,3.298 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",382 €,"Aurelio e Monteverde, Roma - A 3,2 km dal centro",4
358,Mercure Roma Centro Colosseo Hotel,"8,2",Fantastico,2.276 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",353 €,"Colosseo e Foro Romano, Roma - In pieno centro",4
359,Hotel Patria,"8,6",Fantastico,1.841 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",125 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
360,MEININGER Roma Termini,"8,7",Fantastico,142 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",159 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
361,Laurentia Roma Hotel,"8,2",Fantastico,2.868 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",152 €,"Stazione centrale Roma Termini, Roma - A 0,3 km dal centro",3
362,Hotel Nardizzi Americana,"8,6",Fantastico,1.568 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",240 €,"Stazione centrale Roma Termini, Roma - In pieno centro",2
363,Hotel Sisto V,"8,3",Fantastico,1.542 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",114 €,"Trionfale, Roma - A 2,8 km dal centro",3
364,Hotel Kent,"8,1",Fantastico,1.333 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",120 €,"Nomentano, Roma - A 0,3 km dal centro",3
365,Hotel Julia,"8,1",Fantastico,1.944 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",128 €,"Fontana di Trevi, Roma - In pieno centro",3
366,DoubleTree by Hilton Rome Monti,"8,8",Fantastico,1.740 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",373 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
367,Hotel Labelle,"8,9",Fantastico,1.254 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",164 €,"Colosseo e Foro Romano, Roma - In pieno centro",2
368,Maison Tritone,"9,5",Eccezionale,1.156 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",321 €,"Fontana di Trevi, Roma - In pieno centro",4
369,DA ME Suites,"9,1",Eccezionale,1.272 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",175 €,"Piazza di Spagna, Roma - In pieno centro",4
370,Lh Royal Suites Terrace,"9,3",Eccezionale,767 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",311 €,"Pantheon, Roma - In pieno centro",4
371,Hotel Condotti,"8,9",Fantastico,1.324 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",262 €,"Piazza di Spagna, Roma - In pieno centro",3
372,Mario de' Fiori 37 Luxury Suites,"9,6",Eccezionale,753 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",316 €,"Piazza di Spagna, Roma - In pieno centro",4
373,Hotel La Scaletta,"8,7",Fantastico,28 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",144 €,"Ostia, Roma - A 23,6 km dal centro",3
374,Residenza dei Principi Bed and Breakfast,"8,7",Fantastico,27 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",113 €,"Monti, Roma - In pieno centro",3
375,Hotel Croce Di Malta,"8,3",Fantastico,2.267 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",165 €,"Piazza di Spagna, Roma - In pieno centro",2
376,The Major Hotel,"8,9",Fantastico,1.381 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",243 €,"Monti, Roma - In pieno centro",4
377,Hotel Mariano,"8,7",Fantastico,36 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",130 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
378,Hotel Villa Pamphili Roma,"8,7",Fantastico,4.994 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",243 €,"Aurelio e Monteverde, Roma - A 2,8 km dal centro",4
379,Nazionale Palace Suites,"8,6",Fantastico,365 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",154 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
380,Hotel Ostia Antica Park,"7,8",Ottimo,170 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",233 €,"Ostia, Roma - A 18,3 km dal centro",3
381,The Sanctuary Urban Retreat,"9,4",Eccezionale,6 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",184 €,"Colosseo e Foro Romano, Roma - A 0,3 km dal centro",3
382,Tritone Top House,"8,4",Fantastico,1.829 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",140 €,"Piazza di Spagna, Roma - In pieno centro",3
383,Hostel Beautiful,"6,8",Buono,96 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",103 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
384,St. Peter' Six Guest House,"8,8",Fantastico,53 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",241 €,"Città del Vaticano, Roma - In pieno centro",3
385,Leonardo Boutique Hotel Rome Monti,"8,8",Fantastico,10 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",188 €,"Monti, Roma - In pieno centro",4
386,Occidental Aurelia,"8,4",Fantastico,1.906 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",148 €,"Aurelio e Monteverde, Roma - A 2,7 km dal centro",4
387,Triviho Luxury Hotel Rome,"9,0",Eccezionale,798 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",230 €,"Fontana di Trevi, Roma - In pieno centro",3
388,Colazione Al Vaticano Guest House,"8,4",Fantastico,1.474 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",75 €,"Città del Vaticano, Roma - A 0,7 km dal centro",3
389,Des Artistes Hotel,"8,1",Fantastico,2.520 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",170 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
390,Exe Domus Aurea Hotel,"8,7",Fantastico,2.129 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",146 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
391,ASTORIA GOLDEN GATE,"9,1",Eccezionale,1.512 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",110 €,"Stazione centrale Roma Termini, Roma - In pieno centro",2
392,Hotel Albergo Santa Chiara,"9,2",Eccezionale,57 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",213 €,"Pantheon, Roma - In pieno centro",3
393,Hotel La Residenza,"8,8",Fantastico,1.330 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",240 €,"Via Veneto, Roma - In pieno centro",4
394,Hotel Garda,"8,0",Fantastico,1.891 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",178 €,"Via Veneto, Roma - In pieno centro",3
395,Il Faro Gianicolense,"9,6",Eccezionale,2 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",132 €,"Trastevere, Roma - A 0,8 km dal centro",3
396,9Hotel Cesari,"8,7",Fantastico,1.756 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",248 €,"Pantheon, Roma - In pieno centro",4
397,Starhotels Michelangelo Rome,"8,9",Fantastico,2.299 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",211 €,"Città del Vaticano, Roma - A 1,5 km dal centro",4
398,Apollo Boutique Hotel,"9,3",Eccezionale,39 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",145 €,"Città del Vaticano, Roma - A 0,1 km dal centro",4
399,Relais Orso,"8,5",Fantastico,1.786 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",152 €,"Piazza Navona, Roma - In pieno centro",5
400,Le Boutique Luxury Rooms diffused in Historic Center,"9,0",Eccezionale,21 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",180 €,"Aeroporto di Fiumicino, Roma - A 23,4 km dal centro",4
401,Hotel Columbia,"8,8",Fantastico,601 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",179 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
402,Roma 2B (Roma2b Bed&Breakfast),"9,1",Eccezionale,888 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",135 €,"Via Veneto, Roma - In pieno centro",3
403,Sweet Life Guesthouse,"8,3",Fantastico,16 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",136 €,"Stazione centrale Roma Termini, Roma - A 0,3 km dal centro",3
404,Best Western Hotel Rome Airport,"7,9",Ottimo,3.856 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",162 €,"Aeroporto di Fiumicino, Roma - A 22,6 km dal centro",4
405,InternoRoma,"8,5",Fantastico,430 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",123 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
406,The Independent Suites,"8,4",Fantastico,435 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",138 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
407,Hotel Grifo,"9,0",Eccezionale,2.259 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",190 €,"Monti, Roma - In pieno centro",3
408,"Cardo Roma, Autograph Collection","8,1",Fantastico,376 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",210 €,"Eur e Garbatella, Roma - A 4,6 km dal centro",4
409,W Rome,"9,8",Eccezionale,7 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",500 €,"Via Veneto, Roma - In pieno centro",5
410,Salotto Piramide guesthouse,"7,2",Ottimo,501 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",105 €,"Eur e Garbatella, Roma - A 1,2 km dal centro",5
411,Albergo delle Regioni,"9,5",Eccezionale,1.205 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",302 €,"Piazza di Spagna, Roma - In pieno centro",3
412,Atlante Garden Hotel,"8,4",Fantastico,53 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",396 €,"Città del Vaticano, Roma - In pieno centro",4
413,Hotel Diocleziano,"9,1",Eccezionale,3.805 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",161 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
414,Tmark Hotel Vaticano,"8,4",Fantastico,96 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",173 €,"Città del Vaticano, Roma - In pieno centro",4
415,Viminale Hotel,"9,2",Eccezionale,1.527 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",367 €,"Monti, Roma - In pieno centro",4
416,Residenza Paolo VI,"9,0",Eccezionale,198 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",427 €,"Città del Vaticano, Roma - A 0,2 km dal centro",4
417,Bhr Brancaccio 83,"9,6",Eccezionale,1 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",150 €,"Monti, Roma - In pieno centro",4
418,Hotel Termini,"6,8",Buono,30 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",130 €,"Stazione centrale Roma Termini, Roma - In pieno centro",2
419,Ludus Rooms,"9,2",Eccezionale,515 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",412 €,"Colosseo e Foro Romano, Roma - In pieno centro",5
420,Marta Inn,"8,8",Fantastico,651 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",113 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
421,Hotel Barocco,"9,2",Eccezionale,1.584 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",349 €,"Via Veneto, Roma - In pieno centro",4
422,Aelius                                                                                          ,"8,8",Fantastico,671 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",130 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
423,Excellence Suite,"8,4",Fantastico,1.646 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",148 €,"Via Veneto, Roma - In pieno centro",3
424,Hotel Locanda Cairoli,"8,4",Fantastico,652 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",280 €,"Pantheon, Roma - In pieno centro",4
425,Babuino 181 - Small Luxury Hotels of the World,"9,1",Eccezionale,959 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",242 €,"Piazza di Spagna, Roma - In pieno centro",4
426,Anas Prime Place,"8,1",Fantastico,1.191 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",162 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
427,Trevi 41 Hotel,"8,4",Fantastico,96 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",177 €,"Fontana di Trevi, Roma - In pieno centro",3
428,Piazza Di Spagna Prestige,"8,7",Fantastico,524 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",194 €,"Piazza di Spagna, Roma - In pieno centro",4
429,room Select Via Veneto,"8,5",Fantastico,2.634 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",158 €,"Via Veneto, Roma - In pieno centro",4
430,Ibis Styles Roma Aurelia,"8,3",Fantastico,1.529 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",130 €,"Aurelio e Monteverde, Roma - A 3,1 km dal centro",4
431,Hotel California,"7,9",Ottimo,439 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",149 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
432,Locanda Del Sole-Roma Piazza Di Spagna Ripetta,"8,6",Fantastico,199 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",222 €,"Piazza di Spagna, Roma - In pieno centro",4
433,InnVatican,"9,2",Eccezionale,23 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",121 €,"Città del Vaticano, Roma - A 0,4 km dal centro",3
434,UNA HOTELS Empire Roma,"8,5",Fantastico,2.505 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",165 €,"Via Veneto, Roma - In pieno centro",4
435,Borgo Pio Suites Inn,"9,0",Eccezionale,628 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",292 €,"Città del Vaticano, Roma - In pieno centro",4
436,Seiler Hotel,"8,0",Fantastico,2.409 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",168 €,"Stazione centrale Roma Termini, Roma - In pieno centro",2
437,Hotel Villa San Pio,"8,8",Fantastico,6.936 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",252 €,"Colosseo e Foro Romano, Roma - A 0,6 km dal centro",3
438,Gasometer Urban Suites,"9,1",Eccezionale,1.363 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",209 €,"Eur e Garbatella, Roma - A 1,5 km dal centro",4
439,Grand Hotel Palace Rome,"8,6",Fantastico,50 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",332 €,"Via Veneto, Roma - In pieno centro",5
440,Hotel Valadier,"8,6",Fantastico,3.009 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",206 €,"Piazza di Spagna, Roma - In pieno centro",4
441,Rhea Silvia Luxury Navona,"9,3",Eccezionale,1.308 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",513 €,"Pantheon, Roma - In pieno centro",4
442,B&B Hotel Roma Trastevere,"8,5",Fantastico,971 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",125 €,"Trastevere, Roma - A 1,2 km dal centro",3
443,Rome Times Hotel,"8,7",Fantastico,796 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",232 €,"Monti, Roma - In pieno centro",4
444,Hotel Stendhal,"8,5",Fantastico,723 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",312 €,"Piazza di Spagna, Roma - In pieno centro",4
445,Lungotevere Suite Residence,"8,8",Fantastico,1.722 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",118 €,"Trastevere, Roma - A 1,3 km dal centro",4
446,"Radisson Blu GHR Hotel, Rome","8,2",Fantastico,2.464 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",284 €,"Flaminio e Parioli, Roma - A 1,4 km dal centro",4
447,Charme & Chic Luxury,"8,8",Fantastico,871 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",221 €,"Pantheon, Roma - In pieno centro",4
448,Capo d´Africa – Colosseo,"9,0",Eccezionale,42 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",208 €,"Colosseo e Foro Romano, Roma - In pieno centro",4
449,Grand Master Suites Guest House,"8,7",Fantastico,56 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",192 €,"Piazza di Spagna, Roma - In pieno centro",4
450,Hotel Pulitzer,"8,5",Fantastico,2.651 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",133 €,"Eur e Garbatella, Roma - A 4,0 km dal centro",4
451,La Casa di Elena,"6,8",Buono,841 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",89 €,"Stazione centrale Roma Termini, Roma - A 0,2 km dal centro",3
452,Hotel Romanico Palace,"8,0",Fantastico,312 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",226 €,"Via Veneto, Roma - In pieno centro",4
453,GP Hotel,"7,9",Ottimo,2.390 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",130 €,"Roma Est, Roma - A 4,9 km dal centro",4
454,THAT'S AMORE FIUMICINO Airport,"8,0",Fantastico,937 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",183 €,"Aeroporto di Fiumicino, Roma - A 23,3 km dal centro",3
455,nhow Roma,"8,3",Fantastico,1.080 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",248 €,"Via Veneto, Roma - In pieno centro",4
