,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,indirizzo,valutazione
85,The Hive Hotel,"8,9",Fantastico,7.787 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€174,"Stazione centrale Roma Termini, Roma - In pieno centro",4
86,Generator Rome,"8,1",Fantastico,537 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€173,"Stazione centrale Roma Termini, Roma - In pieno centro",4
87,Hotel Center 3,"7,3",Ottimo,1.607 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€124,"Stazione centrale Roma Termini, Roma - A 0,2 km dal centro",3
88,Prati 25.7 Suites in Rome,"8,2",Fantastico,379 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€132,"Città del Vaticano, Roma - In pieno centro",4
89,Palazzo Sant'Antonio,"8,4",Fantastico,1.362 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€63,"Trionfale, Roma - A 2,3 km dal centro",3
90,Hotel Best Roma,"7,4",Ottimo,112 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€126,"Stazione centrale Roma Termini, Roma - A 49 m dal centro",4
91,Rome Garden Hotel,"8,1",Fantastico,295 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€152,"Nomentano, Roma - A 0,4 km dal centro",3
92,Precise House Mantegna Roma,"8,8",Fantastico,1.968 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€177,"Eur e Garbatella, Roma - A 3,0 km dal centro",4
93,LH Hotel Lloyd Rome,"8,0",Fantastico,1.688 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€120,"Nomentano, Roma - A 0,4 km dal centro",3
94,Hotel Philia,"6,3",Buono,418 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€89,"Stazione centrale Roma Termini, Roma - In pieno centro",3
95,Occidental Aran Park Hotel,"7,8",Ottimo,4.451 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€124,"Eur e Garbatella, Roma - A 6,6 km dal centro",4
96,Hotel Villa San Lorenzo Maria,"8,2",Fantastico,3.684 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€166,"Stazione centrale Roma Termini, Roma - A 0,4 km dal centro",3
97,Adesso Hotel,"9,1",Eccezionale,3.375 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€161,"Nomentano, Roma - A 1,9 km dal centro",4
98,TH Roma - Carpegna Palace,"8,2",Fantastico,490 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€112,"Aurelio e Monteverde, Roma - A 2,5 km dal centro",4
99,Hotel Boomerang Roma,"7,7",Ottimo,1.296 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€81,"Roma Ovest, Roma - A 6,7 km dal centro",3
100,La Griffe Hotel Roma,"7,8",Ottimo,5.347 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€139,"Stazione centrale Roma Termini, Roma - In pieno centro",5
101,Best Western Hotel Globus,"8,2",Fantastico,3.462 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€138,"Policlinico, Roma - A 0,9 km dal centro",3
102,All Time Relais & Sport Hotel,"8,3",Fantastico,303 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€851,"Eur e Garbatella, Roma - A 8,8 km dal centro",4
103,The RomeHello,"9,2",Eccezionale,10.024 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€146,"Stazione centrale Roma Termini, Roma - In pieno centro",3
104,Hotel Buenos Aires,"7,9",Ottimo,1.084 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€128,"Nomentano, Roma - A 1,2 km dal centro",3
105,Hotel Gabriella,"7,3",Ottimo,436 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€96,"Stazione centrale Roma Termini, Roma - In pieno centro",3
106,Hotel Milani,"8,4",Fantastico,3.827 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€164,"Stazione centrale Roma Termini, Roma - In pieno centro",3
107,Rome  Ciampino Smart Hotel,"8,8",Fantastico,366 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€81,"Aeroporto di Ciampino, Roma - A 11,9 km dal centro",3
108,Hotel Il Cantico St. Peter,"8,7",Fantastico,536 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€85,"Città del Vaticano, Roma - A 1,0 km dal centro",3
109,Hotel Residence Magnolia,"7,7",Ottimo,11 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€93,"Trionfale, Roma - A 1,2 km dal centro",3
110,Albergo Ottocento,"8,7",Fantastico,244 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€213,"Via Veneto, Roma - In pieno centro",4
111,Hotel Dei Congressi,"8,7",Fantastico,3.304 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€172,"Eur e Garbatella, Roma - A 5,8 km dal centro",4
